customer_id,total_spend,transaction_count,avg_transaction_amount
17592,3190.88,5,638.18
372,3012.48,6,502.08
3251,2764.39,6,460.73
14135,2746.05,7,392.29
17547,2680.6400000000003,2,1340.32
6322,2599.0099999999998,7,371.29
3640,2563.41,3,854.47
503,2555.75,8,319.47
9912,2553.41,9,283.71
13621,2487.41,4,621.85
14495,2405.95,5,481.19
5752,2394.05,12,199.5
13894,2386.11,12,198.84
11283,2385.33,3,795.11
11172,2317.7599999999998,5,463.55
10342,2225.35,6,370.89
17016,2219.31,11,201.76
16232,2208.57,14,157.76
8123,2189.7699999999995,9,243.31
9573,2184.9,16,136.56
2223,2131.82,5,426.36
12502,2130.68,3,710.23
16148,2100.63,7,300.09
16565,2084.11,6,347.35
10266,2083.81,4,520.95
8355,2082.19,8,260.27
4647,2065.72,4,516.43
6242,2011.49,9,223.5
4900,2000.93,9,222.33
4584,1982.8600000000001,5,396.57
4302,1959.98,5,392.0
7032,1957.69,3,652.56
6422,1937.3700000000001,9,215.26
11879,1936.84,6,322.81
19684,1932.35,4,483.09
18881,1922.52,4,480.63
3769,1895.5,8,236.94
14819,1879.01,12,156.58
15858,1866.46,7,266.64
13725,1864.84,2,932.42
8857,1854.8700000000001,3,618.29
9842,1849.36,3,616.45
13437,1843.31,4,460.83
18426,1842.65,2,921.32
12576,1814.47,8,226.81
4406,1800.83,6,300.14
6166,1795.76,17,105.63
18562,1783.07,13,137.16
12997,1772.02,9,196.89
8845,1737.88,5,347.58
6814,1730.34,13,133.1
13282,1718.26,16,107.39
15435,1715.1599999999999,9,190.57
16797,1710.91,16,106.93
16241,1702.64,11,154.79
4414,1690.55,10,169.06
6425,1687.2900000000002,11,153.39
2986,1670.98,12,139.25
1625,1667.97,1,1667.97
12438,1666.74,8,208.34
18646,1656.13,8,207.02
8521,1654.4699999999998,14,118.18
13701,1649.67,8,206.21
13628,1645.4499999999998,8,205.68
12832,1640.65,10,164.06
13389,1629.9399999999998,5,325.99
117,1628.61,10,162.86
14195,1623.28,9,180.36
10493,1615.8400000000001,18,89.77
19786,1601.05,10,160.1
17246,1599.9499999999998,8,199.99
17151,1598.69,6,266.45
5498,1593.6699999999998,8,199.21
13513,1591.95,13,122.46
15108,1585.64,14,113.26
6510,1583.33,7,226.19
14088,1581.25,11,143.75
2923,1578.05,13,121.39
10895,1577.24,13,121.33
14638,1575.98,2,787.99
830,1561.37,6,260.23
14540,1557.16,15,103.81
8687,1555.5,14,111.11
18696,1553.98,14,111.0
12117,1553.58,9,172.62
4077,1533.45,5,306.69
19783,1531.63,4,382.91
10502,1528.97,11,139.0
109,1518.16,1,1518.16
5091,1516.42,4,379.1
18092,1505.86,9,167.32
12402,1505.1200000000001,5,301.02
7815,1497.1,3,499.03
1406,1493.75,9,165.97
1286,1484.9599999999998,4,371.24
12974,1476.92,11,134.27
12646,1463.58,9,162.62
16524,1460.9,4,365.22
5450,1460.1100000000001,8,182.51
12993,1456.99,12,121.42
1189,1456.0,9,161.78
15647,1455.5,11,132.32
14657,1455.4999999999998,4,363.87
3442,1452.37,2,726.18
5592,1451.44,8,181.43
4656,1447.21,6,241.2
12930,1445.3100000000002,10,144.53
8374,1444.43,8,180.55
9673,1443.53,11,131.23
2769,1437.47,9,159.72
8431,1433.6999999999998,11,130.34
19568,1432.92,8,179.12
17527,1430.31,6,238.38
5199,1427.69,14,101.98
18335,1425.29,13,109.64
19929,1425.13,10,142.51
18880,1424.62,3,474.87
19643,1423.92,11,129.45
17042,1423.73,14,101.7
847,1423.46,10,142.35
9538,1417.23,16,88.58
7117,1413.37,7,201.91
10725,1411.88,4,352.97
15522,1411.1100000000001,10,141.11
9575,1408.83,9,156.54
7064,1403.9099999999999,12,116.99
11621,1401.04,7,200.15
19494,1399.0,14,99.93
9735,1396.26,5,279.25
6851,1395.01,6,232.5
6068,1394.5,7,199.21
6828,1393.1,10,139.31
5329,1392.45,7,198.92
8385,1386.3700000000001,12,115.53
12392,1385.1599999999999,15,92.34
634,1382.04,5,276.41
14672,1381.29,9,153.48
13047,1379.58,8,172.45
3678,1378.3300000000002,13,106.03
7795,1376.17,4,344.04
18539,1363.18,11,123.93
7536,1360.86,2,680.43
1459,1354.84,7,193.55
18727,1352.61,1,1352.61
7977,1348.8700000000001,8,168.61
12912,1347.97,4,336.99
8689,1344.22,16,84.01
13632,1341.97,10,134.2
6543,1338.35,11,121.67
18551,1336.66,8,167.08
16138,1336.6399999999999,5,267.33
1018,1331.47,11,121.04
8714,1330.8799999999999,10,133.09
13854,1330.76,9,147.86
5220,1329.66,7,189.95
19275,1328.1200000000001,16,83.01
2974,1325.6399999999999,6,220.94
12905,1324.32,13,101.87
3783,1315.55,12,109.63
455,1315.51,15,87.7
5258,1309.03,10,130.9
1551,1308.97,10,130.9
9018,1308.4,4,327.1
11557,1306.34,8,163.29
14279,1300.47,11,118.22
10547,1299.03,11,118.09
9006,1295.6100000000001,9,143.96
17692,1293.7600000000002,2,646.88
13483,1293.53,13,99.5
4959,1292.44,11,117.49
6901,1291.19,15,86.08
13130,1285.0,1,1285.0
11236,1284.92,10,128.49
12508,1282.4,11,116.58
816,1281.82,7,183.12
2078,1280.5500000000002,7,182.94
2980,1280.55,7,182.94
15475,1279.62,17,75.27
1997,1277.07,13,98.24
395,1276.08,8,159.51
2574,1275.26,8,159.41
6852,1274.11,8,159.26
12210,1272.4299999999998,5,254.49
18919,1269.3,8,158.66
16159,1268.15,14,90.58
1165,1267.83,8,158.48
18805,1267.07,8,158.38
2609,1266.59,4,316.65
18436,1266.42,12,105.54
14168,1265.6899999999998,8,158.21
17281,1265.43,8,158.18
2812,1265.23,8,158.15
1102,1259.65,7,179.95
5041,1254.25,6,209.04
6430,1253.17,8,156.65
7012,1251.3700000000001,6,208.56
