transaction_id,customer_id,amount
1_0,13917,107.15
2_1,1022,116.17
3_2,6145,94.49
3_3,6145,42.86
4_4,3152,32.18
5_5,12378,39.6
5_6,12378,198.49
6_7,18712,81.79
6_8,18712,47.85
7_9,17224,5.63
7_10,17224,16.73
7_11,17224,6.32
7_12,17224,116.77
8_13,3448,9.03
9_14,9132,176.58
9_15,9132,150.53
9_16,9132,65.84
10_17,14764,9.69
11_18,14044,55.77
12_19,1718,59.27
12_20,1718,65.48
13_21,16279,29.29
14_22,9009,13.72
15_23,16327,23.75
15_24,16327,48.61
15_25,16327,170.53
16_26,8211,71.73
16_27,8211,179.06
17_28,16729,41.42
17_29,16729,3.5
18_30,7968,237.16
18_31,7968,79.83
19_32,6528,38.07
19_33,6528,171.64
20_34,787,12.8
21_35,8489,77.25
22_36,4199,54.28
23_37,16035,22.41
24_38,17730,210.16
25_39,10225,98.99
25_40,10225,13.81
25_41,10225,112.12
25_42,10225,75.95
26_43,7679,39.09
27_44,9683,231.31
27_45,9683,12.73
27_46,9683,151.2
27_47,9683,211.39
28_48,4760,51.23
29_49,3062,26.26
29_50,3062,11.03
30_51,11356,14.55
31_52,6212,175.77
31_53,6212,75.93
32_54,8312,13.13
32_55,8312,142.24
33_56,14299,9.69
34_57,4997,4.96
34_58,4997,9.56
35_59,8056,18.98
36_60,18051,66.63
36_61,18051,110.22
37_62,18605,7.22
37_63,18605,22.01
38_64,10401,122.23
39_65,10741,94.97
40_66,415,28.79
41_67,17059,22.74
42_68,12755,13.65
42_69,12755,16.73
43_70,3783,77.6
43_71,3783,66.53
44_72,5066,59.77
45_73,16286,39.58
46_74,2068,65.59
46_75,2068,94.68
46_76,2068,160.7
47_77,3540,46.78
48_78,2303,28.28
48_79,2303,24.77
49_80,14378,46.78
50_81,1398,83.1
51_82,3240,49.17
51_83,3240,40.34
52_84,19199,51.43
52_85,19199,138.99
52_86,19199,8.28
52_87,19199,51.2
53_88,1233,9.25
53_89,1233,43.66
54_90,12908,67.39
54_91,12908,180.33
55_92,4933,19.89
56_93,15900,111.38
56_94,15900,4.78
57_95,16181,44.44
57_96,16181,70.59
58_97,1727,81.98
59_98,10778,64.11
59_99,10778,8.31
59_100,10778,16.16
60_101,8099,8.28
60_102,8099,39.09
60_103,8099,477.15
60_104,8099,43.01
61_105,9416,35.74
62_106,17593,195.08
62_107,17593,60.48
63_108,9297,20.57
64_109,4821,43.27
65_110,19024,34.22
66_111,9816,145.96
66_112,9816,19.86
67_113,16898,85.54
68_114,11703,48.61
68_115,11703,49.17
69_116,18014,7.41
69_117,18014,19.5
69_118,18014,107.5
70_119,6404,163.23
71_120,17829,79.62
72_121,12725,27.05
73_122,18250,157.03
73_123,18250,19.58
74_124,6338,16.62
74_125,6338,22.41
75_126,1865,236.2
75_127,1865,73.63
75_128,1865,197.92
75_129,1865,16.3
76_130,554,76.63
76_131,554,40.42
76_132,554,357.6
76_133,554,60.33
77_134,16448,104.23
77_135,16448,25.45
77_136,16448,36.5
77_137,16448,437.07
78_138,7140,17.88
78_139,7140,18.19
79_140,8567,317.8
80_141,5958,29.12
81_142,1780,116.76
82_143,18691,22.96
82_144,18691,16.5
83_145,18482,17.19
84_146,19039,50.15
85_147,12939,43.05
86_148,11675,66.34
86_149,11675,250.47
86_150,11675,54.58
87_151,12175,19.89
88_152,6032,14.22
88_153,6032,27.51
88_154,6032,179.06
88_155,6032,92.11
89_156,12069,27.05
89_157,12069,66.53
90_158,6111,66.53
91_159,10450,26.37
91_160,10450,41.97
91_161,10450,15.33
91_162,10450,67.75
92_163,9407,47.41
93_164,5925,183.48
93_165,5925,21.82
93_166,5925,172.43
93_167,5925,52.01
93_168,5925,53.6
94_169,6369,24.33
95_170,19484,90.96
96_171,5418,49.06
97_172,18429,37.65
97_173,18429,30.82
98_174,1729,61.13
98_175,1729,20.73
99_176,9147,40.31
99_177,9147,21.66
100_178,16121,20.11
100_179,16121,42.16
101_180,4443,145.74
101_181,4443,8.55
101_182,4443,14.22
102_183,15915,179.4
103_184,18133,7.39
104_185,113,56.54
105_186,15521,106.94
106_187,1307,12.97
107_188,18971,46.47
108_189,7428,71.35
109_190,14773,94.32
109_191,14773,53.49
110_192,18905,110.69
110_193,18905,258.23
111_194,1480,206.08
112_195,3677,148.32
112_196,3677,8.53
113_197,6514,61.33
113_198,6514,32.54
113_199,6514,115.06
114_200,15139,138.36
115_201,1901,138.36
115_202,1901,294.2
115_203,1901,148.83
116_204,19336,184.2
116_205,19336,185.02
117_206,2852,38.13
118_207,14482,53.51
119_208,16995,14.32
119_209,16995,19.89
120_210,16412,46.96
120_211,16412,121.26
121_212,17992,405.24
121_213,17992,78.5
122_214,12438,169.54
123_215,3813,47.58
124_216,11445,19.35
125_217,4417,13.71
126_218,11586,39.42
127_219,12646,11.74
128_220,5044,71.27
128_221,5044,49.97
129_222,3043,13.65
129_223,3043,31.93
129_224,3043,74.13
130_225,13517,66.01
131_226,10258,33.09
132_227,12606,21.83
133_228,12806,15.99
133_229,12806,24.77
133_230,12806,54.13
134_231,528,107.54
135_232,12124,144.6
135_233,12124,105.68
136_234,12462,44.8
137_235,4119,4.69
137_236,4119,7.54
138_237,9724,20.6
138_238,9724,7.41
139_239,12995,20.02
140_240,8089,43.04
140_241,8089,43.8
141_242,18709,21.83
141_243,18709,49.06
141_244,18709,22.16
141_245,18709,36.15
142_246,16959,57.76
142_247,16959,35.03
142_248,16959,14.02
142_249,16959,163.74
143_250,18702,43.9
144_251,11051,82.91
144_252,11051,79.32
145_253,16624,49.46
146_254,13481,45.43
147_255,4269,106.21
147_256,4269,65.56
148_257,7579,98.99
148_258,7579,27.05
149_259,18382,114.12
149_260,18382,39.47
150_261,6720,22.96
151_262,17527,862.04
151_263,17527,61.51
151_264,17527,132.38
151_265,17527,14.55
151_266,17527,285.69
152_267,18494,6.43
153_268,17613,115.2
154_269,14066,8.07
154_270,14066,9.2
155_271,18763,43.16
156_272,653,338.19
157_273,4100,189.96
157_274,4100,67.97
157_275,4100,74.16
158_276,16856,244.46
159_277,17670,147.52
160_278,10448,10.23
161_279,13862,24.77
162_280,17505,31.77
162_281,17505,123.63
162_282,17505,212.16
163_283,13394,119.2
164_284,1827,124.96
164_285,1827,162.22
165_286,15569,10.04
166_287,9753,51.63
166_288,9753,9.69
167_289,3519,8.66
168_290,17264,31.72
168_291,17264,48.21
168_292,17264,83.82
169_293,17104,42.51
170_294,2631,16.16
170_295,2631,10.6
171_296,15784,135.25
172_297,17503,74.0
173_298,13909,26.37
173_299,13909,66.53
174_300,11361,7.22
175_301,6434,10.21
175_302,6434,10.04
175_303,6434,6.43
176_304,5189,7.12
176_305,5189,110.84
177_306,1968,7.35
177_307,1968,58.77
177_308,1968,173.62
177_309,1968,29.4
178_310,12659,8.39
179_311,10120,21.66
179_312,10120,8.56
179_313,10120,98.99
180_314,14849,57.62
181_315,13919,28.04
181_316,13919,215.51
181_317,13919,96.87
182_318,3702,46.78
183_319,14228,306.52
183_320,14228,10.91
184_321,15747,58.99
185_322,16329,131.37
185_323,16329,22.01
186_324,15864,55.05
187_325,12665,60.97
187_326,12665,162.7
188_327,14689,96.67
188_328,14689,12.97
188_329,14689,152.05
188_330,14689,51.78
189_331,10663,59.27
189_332,10663,109.49
189_333,10663,11.57
190_334,3296,80.11
190_335,3296,103.14
191_336,12964,38.71
192_337,16025,77.31
192_338,16025,12.64
193_339,19236,123.64
193_340,19236,15.06
194_341,10299,188.79
194_342,10299,50.15
194_343,10299,143.95
195_344,9933,49.64
195_345,9933,14.55
195_346,9933,137.37
196_347,4934,25.17
197_348,595,50.76
197_349,595,4.96
197_350,595,17.37
198_351,5303,9.97
198_352,5303,67.67
199_353,14376,44.44
200_354,6960,6.96
201_355,1304,16.82
201_356,1304,31.31
201_357,1304,31.38
202_358,1722,142.71
203_359,13058,43.01
203_360,13058,91.6
204_361,3496,44.8
205_362,17843,43.65
206_363,18921,70.77
206_364,18921,51.04
207_365,19602,74.16
207_366,19602,59.27
208_367,17794,166.38
208_368,17794,33.76
208_369,17794,11.72
209_370,8090,20.86
209_371,8090,10.21
209_372,8090,68.4
209_373,8090,9.92
210_374,11539,60.03
210_375,11539,72.89
211_376,18382,325.92
211_377,18382,62.93
211_378,18382,27.21
212_379,18754,165.54
213_380,12884,13.72
213_381,12884,17.37
214_382,11026,31.93
215_383,15510,98.99
215_384,15510,121.36
216_385,510,28.04
216_386,510,8.82
217_387,19803,12.64
218_388,1013,109.26
219_389,16754,12.64
219_390,16754,73.5
219_391,16754,31.64
220_392,10528,17.83
221_393,9207,50.03
221_394,9207,32.18
222_395,12705,103.04
222_396,12705,11.57
222_397,12705,53.64
223_398,2760,43.05
224_399,19847,59.24
225_400,902,64.68
226_401,4535,182.58
226_402,4535,45.94
227_403,12636,8.85
227_404,12636,30.82
228_405,12419,104.23
228_406,12419,119.7
228_407,12419,106.51
229_408,17789,45.01
229_409,17789,39.9
230_410,8155,28.98
231_411,14464,12.64
232_412,9708,9.79
232_413,9708,71.07
233_414,5385,10.5
233_415,5385,15.16
234_416,9340,8.15
235_417,6103,123.05
235_418,6103,74.12
236_419,13949,22.74
236_420,13949,8.82
236_421,13949,168.69
237_422,4867,30.44
238_423,6734,143.04
238_424,6734,57.62
239_425,16522,26.35
240_426,2800,55.76
240_427,2800,47.06
241_428,16002,43.16
241_429,16002,49.13
242_430,5224,82.0
242_431,5224,29.44
243_432,1444,83.94
243_433,1444,48.58
244_434,10252,9.03
244_435,10252,22.22
245_436,3177,467.17
245_437,3177,12.72
246_438,11073,19.05
246_439,11073,77.37
247_440,1115,6.01
247_441,1115,14.22
248_442,1189,261.09
248_443,1189,30.12
248_444,1189,20.73
249_445,5761,28.23
249_446,5761,37.35
249_447,5761,5.25
250_448,10502,867.72
250_449,10502,72.65
250_450,10502,57.62
251_451,11971,38.18
252_452,14132,194.13
253_453,9617,499.84
253_454,9617,12.97
253_455,9617,680.68
253_456,9617,44.44
254_457,3116,33.8
255_458,5754,245.52
255_459,5754,46.78
256_460,11816,11.72
257_461,4641,45.85
258_462,14395,63.26
258_463,14395,9.25
258_464,14395,21.64
259_465,7761,64.73
260_466,4631,118.48
260_467,4631,586.59
260_468,4631,55.18
261_469,11826,58.82
261_470,11826,47.0
262_471,6055,32.54
263_472,847,61.51
264_473,10715,171.64
265_474,12058,49.92
266_475,8689,48.61
266_476,8689,185.02
267_477,15127,6.43
267_478,15127,24.77
268_479,17986,45.7
269_480,14283,194.49
269_481,14283,87.03
269_482,14283,133.32
269_483,14283,185.19
270_484,12854,377.28
270_485,12854,383.96
271_486,3879,31.71
272_487,4986,550.64
273_488,19945,16.63
273_489,19945,113.6
273_490,19945,72.44
274_491,18940,51.2
274_492,18940,173.75
275_493,17297,101.54
276_494,9833,53.46
277_495,7778,64.99
278_496,173,19.86
278_497,173,33.76
278_498,173,94.49
279_499,2503,57.76
279_500,2503,21.09
280_501,4859,282.65
281_502,13066,108.0
282_503,8259,10.21
282_504,8259,16.24
282_505,8259,9.97
283_506,18996,10.64
284_507,9911,7.07
284_508,9911,119.89
285_509,5950,13.67
286_510,878,189.68
287_511,14110,7.41
287_512,14110,34.33
287_513,14110,78.12
288_514,7260,42.11
289_515,1363,75.35
289_516,1363,38.61
290_517,12974,81.88
290_518,12974,150.53
291_519,5271,18.25
291_520,5271,55.29
292_521,13701,57.28
293_522,12903,65.47
293_523,12903,54.41
294_524,14538,6.01
294_525,14538,25.17
295_526,7675,146.65
296_527,18027,17.26
297_528,8791,313.38
298_529,3205,60.03
298_530,3205,61.55
298_531,3205,53.51
299_532,16983,13.72
299_533,16983,66.53
300_534,320,8.82
301_535,15,21.08
302_536,13968,47.85
302_537,13968,10.91
303_538,1634,190.85
304_539,12337,77.58
305_540,11242,45.31
305_541,11242,249.3
305_542,11242,94.91
306_543,18044,15.33
307_544,14739,77.91
307_545,14739,16.94
307_546,14739,8.15
308_547,4015,36.0
308_548,4015,12.73
309_549,3894,110.84
310_550,14078,121.67
310_551,14078,51.57
311_552,8392,79.62
311_553,8392,30.71
312_554,12854,129.69
313_555,2562,83.49
313_556,2562,11.03
313_557,2562,19.5
314_558,3990,57.62
315_559,7582,7.9
315_560,7582,73.63
316_561,14731,85.63
316_562,14731,7.9
316_563,14731,44.65
316_564,14731,38.18
317_565,5736,19.5
318_566,2187,100.32
318_567,2187,93.09
319_568,12661,69.64
320_569,18270,198.49
320_570,18270,96.21
321_571,5213,166.35
321_572,5213,33.76
322_573,5493,6.96
323_574,15027,13.71
323_575,15027,159.68
324_576,6504,38.71
325_577,15984,15.86
326_578,9252,234.86
327_579,14555,35.75
327_580,14555,36.0
327_581,14555,104.6
328_582,336,248.57
329_583,1650,16.63
329_584,1650,48.21
330_585,4762,30.1
331_586,2468,268.25
331_587,2468,43.48
331_588,2468,90.3
331_589,2468,144.6
332_590,5126,8.28
333_591,19162,638.84
333_592,19162,43.18
334_593,12449,20.6
335_594,10050,31.31
335_595,10050,240.98
336_596,8539,6.96
337_597,14219,30.71
337_598,14219,17.19
337_599,14219,72.65
337_600,14219,36.81
338_601,13009,53.49
338_602,13009,11.97
338_603,13009,65.21
338_604,13009,8.68
339_605,15825,51.2
340_606,7193,9.2
340_607,7193,31.63
340_608,7193,63.86
340_609,7193,57.33
341_610,6979,102.99
341_611,6979,17.91
341_612,6979,24.37
342_613,9230,30.16
342_614,9230,48.07
343_615,18040,114.2
343_616,18040,97.68
343_617,18040,85.49
344_618,6115,10.34
345_619,18051,30.13
346_620,11669,63.32
346_621,11669,8.07
347_622,12462,144.19
347_623,12462,10.91
347_624,12462,121.13
348_625,13251,13.13
348_626,13251,15.99
348_627,13251,78.56
349_628,8405,19.76
350_629,280,44.18
351_630,13210,900.68
351_631,13210,71.07
352_632,8739,18.19
352_633,8739,103.59
353_634,8665,37.65
353_635,8665,65.48
354_636,4482,111.97
354_637,4482,79.83
355_638,7721,40.34
355_639,7721,77.3
356_640,2733,16.24
356_641,2733,13.68
357_642,16028,38.75
358_643,14184,88.74
358_644,14184,8.07
359_645,19590,10.34
359_646,19590,76.63
360_647,4548,122.66
360_648,4548,52.58
361_649,2354,384.84
362_650,18358,54.93
363_651,6929,17.19
364_652,16278,91.17
364_653,16278,45.87
365_654,12662,27.68
365_655,12662,35.25
366_656,15334,104.4
366_657,15334,104.72
366_658,15334,197.84
367_659,18092,152.28
